File,five,four,one,six,three,two
C_000286.jpg,1,0,0,0,0,0
C_000287.jpg,1,0,0,0,0,0
C_000288.jpg,0,1,0,0,0,0
C_000289.jpg,0,0,0,0,0,1
C_000290.jpg,1,0,0,0,0,0
C_000291.jpg,0,1,0,0,0,0
C_000292.jpg,0,0,1,0,0,0
C_000293.jpg,0,0,0,0,1,0
C_000294.jpg,0,0,0,1,0,0
C_000295.jpg,0,0,1,0,0,0
C_000296.jpg,1,0,0,0,0,0
C_000297.jpg,0,0,0,0,0,1
C_000298.jpg,1,0,0,0,0,0
C_000299.jpg,0,0,0,0,0,1
C_000300.jpg,0,0,1,0,0,0
C_000301.jpg,1,0,0,0,0,0
C_000302.jpg,0,0,0,0,1,0
C_000303.jpg,0,0,0,1,0,0
C_000304.jpg,0,1,0,0,0,0
C_000305.jpg,0,0,0,1,0,0
C_000306.jpg,0,0,1,0,0,0
C_000307.jpg,0,0,1,0,0,0
C_000308.jpg,0,1,0,0,0,0
C_000309.jpg,0,0,0,0,1,0
C_000310.jpg,0,0,0,1,0,0
C_000311.jpg,0,0,0,0,0,1
C_000312.jpg,0,0,0,1,0,0
C_000313.jpg,0,0,0,0,1,0
C_000314.jpg,0,0,0,0,0,1
C_000315.jpg,0,0,0,1,0,0
C_000316.jpg,0,0,1,0,0,0
C_000317.jpg,0,0,0,0,1,0
C_000318.jpg,0,0,0,1,0,0
C_000319.jpg,0,0,0,0,0,1
C_000320.jpg,0,0,0,1,0,0
C_000321.jpg,0,0,1,0,0,0
C_000322.jpg,0,0,0,0,1,0
C_000323.jpg,0,0,0,0,1,0
C_000324.jpg,0,0,0,1,0,0
C_000325.jpg,0,1,0,0,0,0
C_000326.jpg,0,0,1,0,0,0
C_000327.jpg,0,0,0,1,0,0
C_000328.jpg,0,0,1,0,0,0
C_000329.jpg,0,0,0,1,0,0
C_000330.jpg,0,0,0,0,1,0
C_000331.jpg,0,1,0,0,0,0
C_000332.jpg,0,0,0,0,1,0
C_000333.jpg,0,0,1,0,0,0
C_000334.jpg,0,0,0,0,1,0
C_000335.jpg,0,0,0,1,0,0
C_000336.jpg,0,0,0,0,1,0
C_000337.jpg,0,1,0,0,0,0
C_000338.jpg,0,0,1,0,0,0
C_000339.jpg,0,1,0,0,0,0
C_000340.jpg,0,0,0,0,1,0
C_000341.jpg,0,1,0,0,0,0
C_000342.jpg,0,0,0,1,0,0
C_000343.jpg,0,0,1,0,0,0
C_000344.jpg,0,0,1,0,0,0
C_000345.jpg,0,0,0,0,0,1
C_000346.jpg,0,0,0,1,0,0
C_000347.jpg,0,0,0,1,0,0
C_000348.jpg,0,0,1,0,0,0
C_000349.jpg,0,0,1,0,0,0
C_000350.jpg,0,0,0,0,1,0
C_000351.jpg,0,0,0,0,0,1
C_000352.jpg,0,0,0,1,0,0
C_000353.jpg,1,0,0,0,0,0
C_000354.jpg,0,1,0,0,0,0
C_000355.jpg,0,0,0,0,1,0
C_000356.jpg,0,0,0,0,0,1
C_000357.jpg,1,0,0,0,0,0
C_000358.jpg,0,0,0,0,1,0
C_000359.jpg,0,1,0,0,0,0
C_000360.jpg,0,0,0,1,0,0
C_000361.jpg,0,0,1,0,0,0
C_000362.jpg,0,0,1,0,0,0
C_000363.jpg,0,0,0,0,0,1
C_000364.jpg,0,0,0,0,1,0
C_000365.jpg,0,1,0,0,0,0
C_000366.jpg,0,1,0,0,0,0
C_000367.jpg,1,0,0,0,0,0
C_000368.jpg,0,1,0,0,0,0
C_000369.jpg,0,0,1,0,0,0
C_000370.jpg,0,0,1,0,0,0
C_000371.jpg,0,0,1,0,0,0
C_000372.jpg,0,0,0,0,1,0
C_000373.jpg,0,0,1,0,0,0
C_000374.jpg,0,0,0,1,0,0
C_000375.jpg,0,1,0,0,0,0
C_000376.jpg,1,0,0,0,0,0
C_000377.jpg,0,0,0,1,0,0
C_000378.jpg,0,1,0,0,0,0
C_000379.jpg,0,0,0,1,0,0
C_000380.jpg,1,0,0,0,0,0
C_000381.jpg,0,0,0,0,0,1
C_000382.jpg,0,0,0,0,1,0
C_000383.jpg,0,0,0,1,0,0
C_000384.jpg,0,0,0,0,0,1
C_000385.jpg,0,1,0,0,0,0
C_000386.jpg,0,0,0,0,1,0
C_000387.jpg,0,0,0,0,1,0
C_000388.jpg,0,0,1,0,0,0
C_000389.jpg,0,1,0,0,0,0
C_000390.jpg,0,0,0,0,0,1
C_000391.jpg,0,0,1,0,0,0
C_000392.jpg,1,0,0,0,0,0
C_000393.jpg,0,1,0,0,0,0
C_000394.jpg,0,1,0,0,0,0
