File,eight,five,four,one,seven,six,three,two
C_040070.jpg,0,0,1,0,0,0,0,0
C_040071.jpg,0,0,1,0,0,0,0,0
C_040072.jpg,0,1,0,0,0,0,0,0
C_040073.jpg,0,0,0,0,0,1,0,0
C_040074.jpg,0,0,0,1,0,0,0,0
C_040075.jpg,0,0,1,0,0,0,0,0
C_040076.jpg,0,0,0,1,0,0,0,0
C_040077.jpg,0,0,0,1,0,0,0,0
C_040078.jpg,1,0,0,0,0,0,0,0
C_040079.jpg,0,0,0,0,0,0,1,0
C_040080.jpg,0,0,1,0,0,0,0,0
C_040081.jpg,1,0,0,0,0,0,0,0
C_040082.jpg,0,0,0,0,1,0,0,0
C_040083.jpg,0,0,0,0,1,0,0,0
C_040084.jpg,0,0,1,0,0,0,0,0
C_040085.jpg,0,1,0,0,0,0,0,0
C_040086.jpg,0,0,0,0,0,0,1,0
C_040087.jpg,0,0,0,0,1,0,0,0
C_040088.jpg,0,0,0,0,0,0,1,0
C_040089.jpg,0,0,0,1,0,0,0,0
C_040090.jpg,0,0,1,0,0,0,0,0
C_040091.jpg,0,0,0,0,0,0,0,1
C_040092.jpg,0,1,0,0,0,0,0,0
C_040093.jpg,0,0,1,0,0,0,0,0
C_040094.jpg,1,0,0,0,0,0,0,0
C_040095.jpg,0,0,1,0,0,0,0,0
C_040096.jpg,0,0,0,0,0,1,0,0
C_040097.jpg,0,0,0,0,0,0,1,0
C_040098.jpg,0,0,1,0,0,0,0,0
C_040099.jpg,0,0,0,0,0,0,1,0
C_040100.jpg,0,0,0,0,0,1,0,0
C_040101.jpg,0,1,0,0,0,0,0,0
C_040102.jpg,0,0,0,0,1,0,0,0
C_040103.jpg,0,0,0,0,0,0,0,1
C_040104.jpg,0,1,0,0,0,0,0,0
C_040105.jpg,0,0,1,0,0,0,0,0
C_040106.jpg,1,0,0,0,0,0,0,0
C_040107.jpg,0,0,1,0,0,0,0,0
C_040108.jpg,1,0,0,0,0,0,0,0
C_040109.jpg,0,0,1,0,0,0,0,0
C_040110.jpg,0,0,0,0,1,0,0,0
C_040111.jpg,1,0,0,0,0,0,0,0
C_040112.jpg,0,0,0,0,0,0,0,1
C_040113.jpg,0,0,1,0,0,0,0,0
C_040114.jpg,0,0,0,0,0,1,0,0
C_040115.jpg,1,0,0,0,0,0,0,0
C_040116.jpg,0,0,1,0,0,0,0,0
C_040117.jpg,0,0,0,0,0,0,1,0
C_040118.jpg,0,0,1,0,0,0,0,0
C_040119.jpg,0,0,0,0,0,0,0,1
C_040120.jpg,0,0,0,0,1,0,0,0
C_040121.jpg,0,0,0,1,0,0,0,0
C_040122.jpg,0,1,0,0,0,0,0,0
C_040123.jpg,0,1,0,0,0,0,0,0
C_040124.jpg,0,0,1,0,0,0,0,0
C_040125.jpg,0,0,0,0,0,0,0,1
C_040126.jpg,0,0,0,0,0,0,0,1
C_040127.jpg,1,0,0,0,0,0,0,0
C_040128.jpg,0,0,0,0,1,0,0,0
C_040129.jpg,0,0,0,0,0,1,0,0
C_040130.jpg,0,0,0,1,0,0,0,0
C_040131.jpg,0,0,0,0,0,0,0,1
C_040132.jpg,0,1,0,0,0,0,0,0
C_040133.jpg,1,0,0,0,0,0,0,0
C_040134.jpg,0,0,1,0,0,0,0,0
C_040135.jpg,1,0,0,0,0,0,0,0
C_040136.jpg,1,0,0,0,0,0,0,0
C_040137.jpg,0,0,0,0,0,0,0,1
C_040138.jpg,0,0,0,0,1,0,0,0
C_040139.jpg,1,0,0,0,0,0,0,0
C_040140.jpg,0,0,0,0,0,0,0,1
C_040141.jpg,1,0,0,0,0,0,0,0
C_040142.jpg,0,0,1,0,0,0,0,0
C_040143.jpg,1,0,0,0,0,0,0,0
C_040144.jpg,0,0,0,0,1,0,0,0
C_040145.jpg,0,0,0,0,0,1,0,0
C_040146.jpg,0,0,0,0,0,0,0,1
C_040147.jpg,0,0,0,0,0,0,0,1
C_040148.jpg,0,0,0,1,0,0,0,0
C_040149.jpg,0,1,0,0,0,0,0,0
C_040150.jpg,0,0,1,0,0,0,0,0
C_040151.jpg,0,0,1,0,0,0,0,0
