File,eight,five,four,one,seven,six,three,two
B_040163.jpg,0,0,0,0,0,0,1,0
B_040164.jpg,0,0,0,0,0,0,0,1
B_040165.jpg,0,0,0,0,0,1,0,0
B_040166.jpg,0,0,0,0,0,1,0,0
B_040167.jpg,0,0,0,0,0,1,0,0
B_040168.jpg,0,1,0,0,0,0,0,0
B_040169.jpg,0,0,0,1,0,0,0,0
B_040170.jpg,0,0,0,0,0,0,1,0
B_040171.jpg,0,0,0,0,1,0,0,0
B_040172.jpg,0,0,0,1,0,0,0,0
B_040173.jpg,1,0,0,0,0,0,0,0
B_040174.jpg,0,0,0,0,0,1,0,0
B_040175.jpg,0,0,0,1,0,0,0,0
B_040176.jpg,0,0,1,0,0,0,0,0
B_040177.jpg,0,0,0,0,0,1,0,0
B_040178.jpg,0,0,0,0,0,1,0,0
B_040179.jpg,0,0,0,0,0,0,0,1
B_040180.jpg,1,0,0,0,0,0,0,0
B_040181.jpg,0,0,0,1,0,0,0,0
B_040182.jpg,1,0,0,0,0,0,0,0
B_040183.jpg,0,0,0,0,0,1,0,0
B_040184.jpg,0,0,0,0,1,0,0,0
B_040185.jpg,0,0,0,0,0,0,1,0
B_040186.jpg,0,0,0,0,0,0,0,1
B_040187.jpg,0,0,0,0,0,0,1,0
B_040188.jpg,0,0,0,1,0,0,0,0
B_040189.jpg,0,0,1,0,0,0,0,0
B_040190.jpg,0,0,0,1,0,0,0,0
B_040191.jpg,0,0,0,0,1,0,0,0
B_040192.jpg,0,0,0,0,0,0,1,0
B_040193.jpg,0,0,0,0,1,0,0,0
B_040194.jpg,0,0,0,0,0,0,0,1
B_040195.jpg,0,1,0,0,0,0,0,0
B_040196.jpg,0,0,0,0,1,0,0,0
B_040197.jpg,0,0,1,0,0,0,0,0
B_040198.jpg,0,0,0,0,0,1,0,0
B_040199.jpg,0,1,0,0,0,0,0,0
B_040200.jpg,0,0,0,0,0,0,0,1
B_040201.jpg,0,0,0,0,0,1,0,0
B_040202.jpg,0,0,1,0,0,0,0,0
B_040203.jpg,1,0,0,0,0,0,0,0
B_040204.jpg,0,1,0,0,0,0,0,0
B_040205.jpg,0,0,1,0,0,0,0,0
B_040206.jpg,0,0,0,0,0,0,1,0
B_040207.jpg,0,0,0,0,0,1,0,0
B_040208.jpg,0,0,0,0,0,0,0,1
B_040209.jpg,0,0,0,0,1,0,0,0
B_040210.jpg,0,0,0,0,0,1,0,0
B_040211.jpg,0,0,0,0,0,1,0,0
B_040212.jpg,0,0,1,0,0,0,0,0
B_040213.jpg,0,0,0,0,1,0,0,0
B_040214.jpg,0,1,0,0,0,0,0,0
B_040215.jpg,1,0,0,0,0,0,0,0
B_040216.jpg,0,1,0,0,0,0,0,0
B_040217.jpg,0,0,0,0,1,0,0,0
B_040218.jpg,0,0,1,0,0,0,0,0
B_040219.jpg,0,0,0,0,0,0,1,0
B_040220.jpg,0,0,0,1,0,0,0,0
B_040221.jpg,0,1,0,0,0,0,0,0
